address;category;id;lat;lng;location;name;originalId;polarity;subCategory;details;reviews
Berlin,   Germany    Zadekstr. 1a, 12351 Berlin;accommodation;101153;52.437308850131;13.462422788143;Berlin;Hotel Atlantic;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=101153;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=101153
Bernauer Straße 45;accommodation;96933;52.539780364401;13.401798868587;Berlin;Hotel4Youth;4cb603921b0af04d2a8ccd25;0;Hostel;http://tour-pedia.org/api/getPlaceDetails?id=96933;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=96933
Bernhardstraße 9, Berlin, Germany;accommodation;94758;52.478278;13.3305;Berlin;Hotel Atlas Berlin;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=94758;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94758
Billerbecker Weg 97, Berlin, Germany;accommodation;233612;52.574407;13.27741;Berlin;Hotel Grand Meri GmbH;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233612;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233612
Bismarckallee 46/48;accommodation;95136;52.484563596551;13.269683329358;Berlin;Hotel Europäische Akademie Berlin;4be1743e8dd062b5ed4b3e3c;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=95136;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=95136
Bismarckstraße 28, Berlin, Germany;accommodation;233523;52.51227;13.31091;Berlin;Hotel Apart Bismarckstrasse;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233523;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233523
Blankenbergstraße 1, Berlin, Germany;accommodation;233447;52.467253;13.325743;Berlin;holiday-flats-berlin;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233447;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233447
Bleibtreustr. 34/35;accommodation;110171;52.500827823387;13.319285363696;Berlin;Hotel Kurfürst;514f0cb8e4b00a7e5aa0fccf;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=110171;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=110171
Bleibtreustraße 26, Berlin, Germany;accommodation;94478;52.500369;13.31909;Berlin;Hotel Elba;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=94478;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94478
Bleibtreustraße 34/35, Berlin, Germany;accommodation;233225;52.50095;13.32013;Berlin;Hotel Pension Kurfürst, Berlin;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233225;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233225
Blumberger Damm 12/14;accommodation;108982;52.527942090177;13.567072223696;Berlin;PROSocial Hostel;50e734ed498e989d2134b42b;0;Hostel;http://tour-pedia.org/api/getPlaceDetails?id=108982;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=108982
Blumberger Damm 127, Berlin, Germany;accommodation;234074;52.543012;13.569535;Berlin;Homesitting-Agentur Angelika Marie Bonitz;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234074;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234074
Blumenbachweg 40, Berlin, Germany;accommodation;215528;52.5413;13.554579;Berlin;Hotel-Pension Blumenbach;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=215528;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215528
Bornhagenweg 24, Berlin, Germany;accommodation;94912;52.389463;13.42082;Berlin;Hotel Lichtenrade;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=94912;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94912
Borussiastr., Schöneberg-Templehof;accommodation;97708;52.46667;13.38333;Berlin;Waytostay;4d41e4ebaed776ebff566897;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=97708;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=97708
Bouchestraße 15-16;accommodation;95941;52.491189592759;13.450051136592;Berlin;Maison Nartin;4c3cd8a77d002d7fb800af18;0;Bed & Breakfast;http://tour-pedia.org/api/getPlaceDetails?id=95941;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=95941
Boxhagener Straße 73, Berlin, Germany;accommodation;234137;52.506866;13.469085;Berlin;Hostal Friedrichsheim-Kreuzberg;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234137;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234137
Boxhagenerstrasse 53;accommodation;109345;52.507791058773;13.467286372827;Berlin;Lodge Ostkreuz;510bf7b2e4b00423cd8ae25f;0;Hostel;http://tour-pedia.org/api/getPlaceDetails?id=109345;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=109345
Brandenburgische Str.18;accommodation;103605;52.494686126709;13.3093957901;Berlin;artemisia;4f57d14fe4b09521defbc5cf;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=103605;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=103605
Brandenburgische Straße 24, Berlin, Germany;accommodation;103634;52.496676;13.308341;Berlin;Hotel-Pension Margrit;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=103634;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=103634
Brandenburgische Straße 47, Berlin, Germany;accommodation;234299;52.495595;13.308122;Berlin;Hotel Majestic;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234299;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234299
Bregenzer Straße 5;accommodation;98866;52.497740479197;13.3131290354;Berlin;Hotel Bregenzer;4db189f293a061576856d3b9;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=98866;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=98866
Bregenzer Straße 5, Berlin, Germany;accommodation;234306;52.497848;13.313146;Berlin;Hotel;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234306;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234306
Breite Straße 36, Berlin, Germany;accommodation;233568;52.5381;13.20739;Berlin;HOTEL LINDENUFER BERLIN;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233568;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233568
Brüsseler Strasse, Mitte-Wedding;accommodation;97709;52.54667;13.34958;Berlin;Waytostay;4d41e4f8aed776eb49596897;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=97709;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=97709
Bucher Straße 17, Berlin, Germany;accommodation;95025;52.614428;13.440955;Berlin;Hotel Buchholz;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=95025;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=95025
Budapester Straße 25, Berlin, Germany;accommodation;233931;52.506208;13.344387;Berlin;Hotel Schweizerhof;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233931;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233931
bundesallee 115;accommodation;106667;52.467254638672;13.328941345215;Berlin;Pousada Rios;5023b18fe4b0316644fba356;0;Bed & Breakfast;http://tour-pedia.org/api/getPlaceDetails?id=106667;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=106667
